rank,item,repo_name,stars,forks,language,repo_url,username,issues,last_commit,description
21,Solidity,money-legos,955,216,Solidity,https://github.com/studydefi/money-legos,studydefi,13,2023-01-24T02:12:07Z,"💰One stop shop for Ethereum ABIs, addresses, and Solidity interfaces!"
22,Solidity,solidity-expert,954,188,Solidity,https://github.com/dukedaily/solidity-expert,dukedaily,1,2023-03-25T04:46:24Z,4年打磨-2022年海外一线大厂-以太坊开发教程（a solidity tutorial makes you a dapp expert）WIP
23,Solidity,awesome-solidity-gas-optimization,954,81,Solidity,https://github.com/iskdrews/awesome-solidity-gas-optimization,iskdrews,0,2022-09-17T20:22:55Z,Best resources for Solidity gas optimizations ⛽
24,Solidity,Web3Bugs,937,115,Solidity,https://github.com/ZhangZhuoSJTU/Web3Bugs,ZhangZhuoSJTU,8,2023-03-20T18:00:18Z,Demystifying Exploitable Bugs in Smart Contracts
25,Solidity,v2-periphery,931,1511,Solidity,https://github.com/Uniswap/v2-periphery,Uniswap,37,2023-04-01T10:23:04Z,🎚 Peripheral smart contracts for interacting with Uniswap V2
26,Solidity,learn-evm-attacks,911,101,Solidity,https://github.com/coinspect/learn-evm-attacks,coinspect,14,2023-03-30T20:17:01Z,Learn & Contribute on previously exploited vulnerabilities across several EVM projects.
27,Solidity,DeFiVulnLabs,881,149,Solidity,https://github.com/SunWeb3Sec/DeFiVulnLabs,SunWeb3Sec,0,2023-01-11T07:06:56Z,To learn common smart contract vulnerabilities using Foundry!
28,Solidity,smartcontract-apps,873,216,Solidity,https://github.com/33357/smartcontract-apps,33357,1,2023-03-08T03:49:58Z,这是一个面向中文社区，分析市面上智能合约应用的架构与实现的仓库。
29,Solidity,xtt,848,64,Solidity,https://github.com/xtblock/xtt,xtblock,12,2022-07-05T06:58:50Z,XTblock Token - Smart Contracts
30,Solidity,useful-solidity-patterns,834,69,Solidity,https://github.com/dragonfly-xyz/useful-solidity-patterns,dragonfly-xyz,0,2023-03-17T07:32:30Z,
31,Solidity,shisi.eth-in-web3,811,345,Solidity,https://github.com/luyishisi/shisi.eth-in-web3,luyishisi,0,2023-03-16T07:53:41Z,十四君公众号文章的相关代码资源开源
32,Solidity,multicall,806,325,Solidity,https://github.com/makerdao/multicall,makerdao,6,2023-03-26T08:19:51Z,Multicall: Aggregate multiple constant function call results into one
33,Solidity,nft-mix,804,418,Solidity,https://github.com/PatrickAlphaC/nft-mix,PatrickAlphaC,11,2022-04-25T02:11:34Z,
